,name,country_name,grass_Win%,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP/Match,BHP/Match
175,Lorenzo Sonego,Italy,33.33%,3.3,3.5,3.2,47.90%,39.90%,50.90%,34.60%,56.80%,25.40%,2.2,-5.2
176,Miomir Kecmanovic,Serbia,33.33%,4.3,4.9,3.5,42.10%,45.20%,46.90%,45.40%,49.20%,19.00%,4.4,1.1
177,Miomir Kecmanovic,Serbia,33.33%,4.3,4.9,3.5,42.10%,45.20%,46.90%,45.40%,49.20%,19.00%,4.4,1.1
178,Richard Gasquet,France,33.33%,4.1,4.4,3.7,45.70%,51.90%,50.00%,33.60%,45.00%,22.70%,5.1,1.4
179,Richard Gasquet,France,33.33%,4.1,4.4,3.7,45.70%,51.90%,50.00%,33.60%,45.00%,22.70%,5.1,1.4
180,Brandon Nakashima,United States,20.00%,4.2,4.3,4.2,49.60%,51.50%,46.60%,56.30%,56.30%,22.40%,11.1,0.6
181,Brandon Nakashima,United States,20.00%,4.2,4.3,4.2,49.60%,51.50%,46.60%,56.30%,56.30%,22.40%,11.1,0.6
182,Marcos Giron,United States,20.00%,3.9,4.4,3.4,49.00%,38.90%,48.80%,48.70%,49.20%,17.40%,6.3,-0.5
183,Marcos Giron,United States,20.00%,3.9,4.4,3.4,49.00%,38.90%,48.80%,48.70%,49.20%,17.40%,6.3,-0.5
184,Yibing Wu,China,20.00%,3.9,4.4,3.3,47.50%,50.30%,56.10%,63.40%,53.80%,12.50%,16.1,8.3
185,Yibing Wu,China,20.00%,3.9,4.4,3.3,47.50%,50.30%,56.10%,63.40%,53.80%,12.50%,16.1,8.3
186,Maxime Cressy,United States,16.67%,2.6,2.0,3.2,49.20%,47.70%,32.40%,33.30%,44.50%,33.80%,-2.0,-5.6
